Title,Description,Tags,Notes,Categories,Link
EIU Viewswire,"From The Economist Intelligence Unit, provides economic, political, and market developments for 195 countries as well as analysis on the implications for business.","country background, exports, imports, foreign direct investment, globalization, news, statistics: international",,COUNTRY RESEARCH;DEMOGRAPHICS AND STATISTICS,http://proxy-um.researchport.umd.edu/login?url=http://www.viewswire.com/
Encyclopedia of Business and Finance,"A complete business reference covering five general areas: finance and banking; accounting; marketing; management; and information systems. Designed for the nonspecialist, providing practical professional expertise as well as the work of noted scholars. Contributors include executives, government administrators and scholars from leading business programs from around the United States.",finance,,FINANCE AND INVESTMENT,http://proxy-um.researchport.umd.edu/login?url=http://go.galegroup.com/ps/infomark.do?action=interpret&source=library&actionString=DO_DISPLAY_ABOUT_PAGE&tabID=T002&prodId=GVRL&userGroupName=umd_um&docId=CX3402799999&type=aboutBook&version=1.0&authCount=1&u=umd_um
Encyclopedia of E-Commerce,"Provides access to the world of Internet commerce and addresses the concerns of those who want to join the ranks of the Internet business community. Presents answers to common questions about website development, financing, advertising, and more. Features 470 essays covering topics and terms, profiles of the top e-commerce companies, biographies of e-commerce innovators, and coverage of events and legislation related to e-commerce.",e-commerce,,,http://proxy-um.researchport.umd.edu/login?url=http://go.galegroup.com/ps/aboutEbook.do?actionString=DO_DISPLAY_ABOUT_PAGE&inPS=true&prodId=GVRL&userGroupName=umd_um&searchType=BasicSearchForm&docId=GALE%7C9780787677039&contentSegment=9780787677039
Encyclopedia of Small Business,"Designed to provide entrepreneurs with how-to information that they can apply to their own business. The Encyclopedia contains 600 detailed articles and overviews of all the key information needs of small business owners, including financing; financial planning; business plan creation; market analysis; sales strategy; tax planning, human resource issues and more.",small business,,,http://proxy-um.researchport.umd.edu/login?url=http://go.galegroup.com/ps/aboutEbook.do?actionString=DO_DISPLAY_ABOUT_PAGE&inPS=true&prodId=GVRL&userGroupName=umd_um&searchType=BasicSearchForm&docId=GALE%7C9780787677251&contentSegment=9780787677251
Enterprise Surveys,"Provides the world's most comprehensive firm-level data in emerging markets and developing economies for over 120,000 countries and expanding. Data are used to create indicators that benchmark the quality of the business and investment climate across countries.","economic indicators, statistics: united states, country background",,COUNTRY RESEARCH;DEMOGRAPHICS AND STATISTICS;ECONOMICS,http://proxy-um.researchport.umd.edu/login?url=http://www.enterprisesurveys.org
Everything International,"Developed & Maintained by Lloyd C. Russow, Philadelphia University. Provides links to a wide variety of international business, education, and research internet sites.",international business,,,http://faculty.philau.edu/russowl/russow.html
Export.Gov,Managed by the International Trade Administration of the U.S. Department of Commerce in collaboration with other Cabinet units. Brings resources from across U.S. Government to assist American businesses in planning their international sales strategies.,"international trade, international business",,,http://www.export.gov/
Factiva,"From Dow Jones. Provides full text access to over 8,000 business sources including national and international newspapers, magazines, wire services, web sites and industry (trade) sources. Includes coverage of the Wall Street Journal. NOTE: Licensing restrictions limit use to 12 simlutaneous users. If you are unable to access this database, please try again later.","auditing, benefits & compensation, bonds, brands, company profiles, competitors, corporate culture, dow jones industrial average, employment, ethics, financial information, foreign language sources, globalization, industry classification, industry ratios, international trade, labor relations, mergers & acquisitions, news, operations management, quality control, S&P 500, stocks, stock trades quotes, taxation, wall street journal",,COMPANY;FINANCE AND INVESTMENT;INDUSTRY,http://proxy-um.researchport.umd.edu/login?url=http://global.factiva.com/en/sess/login.asp?xsid=S003Wvf1WFo5DEs5DEmM9YuNTAvODFyMHmnRsIuMcNG1pRRQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQQAA
FedBizOpps.gov (Federal Business Opportunities),"A single point of entry for announcements of federal contract opportunities over $25,000, both in both the civilian and military sectors.",business opportunities,,,http://www.fbo.gov/
Federal Reserve Economic Data (FRED),"From the Federal Reserve Bank of St. Louis, FRED is a database of over 45,000 U.S. economic time series in such areas as money, banking, finance, population, employment, labor markets, business activity, national debt, and prices. Data are also available via an Excel download add-in.",statistics: united states,,DEMOGRAPHICS AND STATISTICS,http://research.stlouisfed.org/fred2/
Federation of International Trade Associations,"Searchable database of international trade Web resources on the Internet. Includes over 8,000 annotated links to International Trade/Import-Export Web sites.","exports, imports",,,http://www.fita.org/webindex/index.html
